回答一覧表
1,2023,0626,14:17:3,Q02---,[1] y'=  2x^(2)+4,[2] y'=  x^(3)+2x^(2)+x
2,2023,0626,14:8:6,Q02---,[1] y'=  x^(2)+4x+3,[2] y'=  3x^(2)+4x
3,2023,0626,14:9:47,Q02---,[1] y'=  2x+4,[2] y'=  3x^(2)+4x
4,2023,0626,14:10:40,Q02---,[1] y'=  4x^(2)+4x,[2] y'=  6x
5,2023,0626,14:7:31,Q02---,[1] y'=  2x+4,[2] y'=  3x^(2)+4x
6,2023,0626,14:9:35,Q02---,[1] y'=  2x+4,[2] y'=  3x^(2)+4
7,2023,0626,15:53:47,Q02---,[1] y'=  2x+4,[2] y'=  3x^(2)+4x
8,2023,0626,14:12:12,Q02---,[1] y'=  2x+4,[2] y'=  3x^(2)+4x+1
9,2023,0626,14:8:14,Q02---,[1] y'=    (x+1)1+(x+3)1=2x+4,[2] y'=  2x(x+2)+x^2(1)=3x^2+4x
10,2023,0626,14:5:58,Q02---,[1] y'=  x+4,[2] y'=  x^(2)+2x
