回答一覧表
1,2023,0703,14:21:38,Q04---,[1] y'=  cos(2，x)-sin(2，x),[2] y'=  2sin(x)cos(x),[3] y'=  tan(x)-fr(x，cos(2，x)),[4] y'=  fr(1，cos(2，x))-1//=tan(2，x)
2,2023,0703,14:22:33,Q04---,[1] y'=  sin2(x)+cos(2x),[2] y'=  2sin(x)cos(x),[3] y'=  tan(x)+sec^(x),[4] y'=  tan(x)+xsec^(x)
3,2023,0703,14:23:43,Q04---,[1] y'=  cos(2x),[2] y'=  sin(x^(2)),[3] y'=  fr(sin(x)cos(x)+x，cos(x^(2))),[4] y'=  tan(x^(2))
4,2023,0703,14:19:33,Q04---,[1] y'=  0.017,[2] y'=  1,[3] y'=  0.0174,[4] y'=  -0.98
5,2023,0703,14:49:47,Q04---,[1] y'=  cos(2，x)-sin(2，x),[2] y'=  2sin(x)cos(x),[3] y'=  tan(x)-fr(1，cos(2，x))=fr(1，cos(2，x))-1-fr(1，cos(2，x))//=-1,[4] y'=  fr(1，cos(2，x))-1=tan(x)
6,2023,0703,14:23:2,Q04---,[1] y'=  cosにじょうx-sinにじょうx,[2] y'=  -2cos(x)sin(x),[3] y'=  3,[4] y'=  1
7,2023,0703,16:9:4,Q04---,[1] y'=  cos(2，x)-sin(2，x),[2] y'=  2cos(x)sin(x),[3] y'=  fr(x，cos(2，x)),[4] y'=  fr(1，cos(2，x))-1
8,2023,0703,14:23:33,Q04---,[1] y'=  -cos(x)*(-sin(x)),[2] y'=  -cos(2，x),[3] y'=  xfr(1，cos(2，x)),[4] y'=  fr(1，cos(2，x))-1
9,2023,0703,14:24:14,Q04---,[1] y'=  -sin(2，x)+cos(2，x),[2] y'=  2sin(x)cos(x),[3] y'=  fr(x，cos(2，x)),[4] y'=  fr(1，cos(2，x))-1
10,2023,0703,14:23:14,Q04---,[1] y'=  cos(x)-sin(x),[2] y'=  sin(x)^(2),[3] y'=  fr(sin(2，X)，cos(2，X)),[4] y'=  (sin(2，X)，cos(2，X))-1
