回答一覧表
1,2023,0703,15:43:55,Q08---,[1] y'=  -fr(1，x),[2] y'=  fr(1，x),[3] y'=  fr(1，x+5)
2,2023,0703,15:47:53,Q08---,[1] y'=  fr(x，-1),[2] y'=  fr(1，2x),[3] y'=  fr(1，x+5)
3,2023,0703,15:46:48,Q08---,[1] y'=  -10^(x),[2] y'=  log(10)(2)+log(10)(x),[3] y'=  10^(x)-5
4,2023,0703,15:48:13,Q08---,[1] y'=  0,[2] y'=  fr(1，2x),[3] y'=  0.778x
5,2023,0703,15:44:19,Q08---,[1] y'=  -fr(1，x),[2] y'=  fr(2，2x)=fr(1，x),[3] y'=  fr(1，x+5)
6,2023,0703,15:48:3,Q08---,[1] y'=  fr(-1，x),[2] y'=  fr(1，2x),[3] y'=  fr(1，x+5)
7,2023,0703,15:43:43,Q08---,[1] y'=  fr(1，-x),[2] y'=  fr(1，2x),[3] y'=  fr(1，x+5)
8,2023,0703,15:49:6,Q08---,[1] y'=  -fr(1，x),[2] y'=  fr(1，2x),[3] y'=  fr(1，x+5)
9,2023,0703,15:45:30,Q08---,[1] y'=  fr(-1，x),[2] y'=  fr(2，x),[3] y'=  fr(1，x+5)
10,2023,0703,15:44:13,Q08---,[1] y'=  -fr(1，x),[2] y'=  fr(1，2),[3] y'=  fr(1，x+5)
